Current_Year,Current_Month,1st_year,1st_month,China_EB1,2nd_year,2nd_month,China_EB2,3rd_year,3rd_month,China_EB3
2012,1,C ,C ,0,2009,1,36,2004,10,87
2012,2,C ,C ,0,2010,1,25,2004,12,86
2012,3,C ,C ,0,2010,5,22,2005,1,86
2012,4,C ,C ,0,2010,5,23,2005,3,85
2012,5,C ,C ,0,2007,8,57,2005,4,85
2012,6,C ,C ,0,U ,U ,0,2005,8,82
2012,7,C ,C ,0,U ,U ,0,2005,9,82
2012,8,C ,C ,0,U ,U ,0,2005,11,81
2012,9,C ,C ,0,U ,U ,0,2005,12,81
2012,10,C ,C ,0,2007,7,63,2006,2,80
2012,11,C ,C ,0,2007,9,62,2006,4,79
2012,12,C ,C ,0,2007,10,62,2006,7,77
2013,1,C ,C ,0,2007,12,61,2006,9,76
2013,2,C ,C ,0,2008,1,61,2006,11,75
2013,3,C ,C ,0,2008,2,61,2007,1,74
2013,4,C ,C ,0,2008,4,60,2007,4,72
2013,5,C ,C ,0,2008,5,60,2007,12,65
2013,6,C ,C ,0,2008,7,59,2008,9,57
2013,7,C ,C ,0,2008,8,59,2009,1,54
2013,8,C ,C ,0,2008,8,60,2009,1,55
2013,9,C ,C ,0,2008,8,61,2010,7,38
2013,10,C ,C ,0,2008,9,61,2010,7,39
2013,11,C ,C ,0,2008,10,61,2010,10,37
2013,12,C ,C ,0,2008,11,61,2011,10,26
2014,1,C ,C ,0,2008,12,61,2012,4,21
2014,2,C ,C ,0,2009,1,61,2012,6,20
2014,3,C ,C ,0,2009,2,61,2012,9,18
2014,4,C ,C ,0,2009,3,61,2012,10,18
2014,5,C ,C ,0,2009,4,61,2012,10,19
2014,6,C ,C ,0,2009,5,61,2006,10,92
2014,7,C ,C ,0,2009,7,60,2006,10,93
2014,8,C ,C ,0,2009,10,58,2008,11,69
2014,9,C ,C ,0,2009,10,59,2008,11,70
2014,10,C ,C ,0,2009,11,59,2009,4,66
2014,11,C ,C ,0,2009,12,59,2010,1,58
2014,12,C ,C ,0,2010,1,59,2010,6,54
2015,1,C ,C ,0,2010,2,59,2011,3,46
2015,2,C ,C ,0,2010,3,59,2011,9,41
2015,3,C ,C ,0,2010,9,54,2011,10,41
2015,4,C ,C ,0,2011,4,48,2011,1,51
2015,5,C ,C ,0,2012,6,35,2011,5,48
2015,6,C ,C ,0,2013,6,24,2011,9,45
2015,7,C ,C ,0,2013,10,21,2011,9,46
2015,8,C ,C ,0,2013,12,20,2004,6,134
2015,9,C ,C ,0,2006,1,116,2004,12,129
2015,10,C ,C ,0,2012,1,45,2011,10,48
2015,11,C ,C ,0,2012,2,45,2012,1,46
2015,12,C ,C ,0,2012,2,46,2012,4,44
2016,1,C ,C ,0,2012,2,47,2012,7,42
2016,2,C ,C ,0,2012,3,47,2012,10,40
2016,3,C ,C ,0,2012,8,43,2013,6,33
2016,4,C ,C ,0,2012,9,43,2013,8,32
2016,5,C ,C ,0,2012,9,44,2013,8,33
2016,6,C ,C ,0,2010,1,77,2010,1,77
2016,7,C ,C ,0,2010,1,78,2010,1,78
2016,8,2010,1,79,2010,1,79,2010,1,79
2016,9,2010,1,80,2010,1,80,2010,1,80
